log_price,Mileage,EngineV,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Registration_yes
8.34283980427146,277,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
8.974618038455112,427,2.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9.495519314209846,358,5.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
10.043249494911286,240,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9.814656338829511,120,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
9.560997243589352,200,2.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9.28720881623276,193,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7.244227515603349,212,1.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
9.388486557359656,177,1.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7.824046010856294,260,1.79,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
9.159047077588633,165,2.7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
9.259130536145614,100,1.8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
9.680344001221918,250,4.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
9.0595174822416,84,1.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
8.003028666384733,203,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10.184900011974314,21,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
8.160518247477505,250,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10.551454296015534,0,2.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
8.922658299524402,132,1.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8.824677891164196,225,2.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
