Brand,Body,Mileage,EngineV,Engine Type,Registration,log_price
Mitsubishi,crossover,119,2.4,Gas,yes,9.314700387300425
Mitsubishi,sedan,139,1.5,Other,yes,9.011889433252344
Volkswagen,sedan,235,2.0,Petrol,yes,9.239899174217728
Renault,van,210,1.1,Diesel,yes,9.39182824802156
BMW,sedan,33,2.0,Diesel,yes,10.753638481905739
Volkswagen,other,260,1.8,Gas,no,7.313220387090301
BMW,crossover,156,4.4,Gas,no,8.756210091886738
Mercedes-Benz,hatch,155,1.5,Petrol,yes,9.093806555720231
Mercedes-Benz,van,160,3.0,Diesel,yes,9.449357272446683
Mitsubishi,sedan,207,1.6,Gas,yes,8.987196820661973
Toyota,crossover,63,4.0,Petrol,yes,10.292145542327912
Renault,van,208,1.5,Diesel,yes,8.867850063029406
Renault,crossover,103,2.5,Gas,yes,9.291920358968605
Volkswagen,sedan,57,2.0,Diesel,yes,10.203592144986466
Volkswagen,other,64,2.0,Petrol,yes,9.803667217253917
BMW,sedan,137,5.0,Other,yes,10.203592144986466
BMW,other,300,2.2,Petrol,yes,9.103868127465667
Toyota,crossover,82,2.7,Petrol,yes,10.401227936753463
BMW,other,163,4.8,Petrol,yes,10.146433731146518
Toyota,crossover,153,2.0,Petrol,yes,9.093806555720231
Audi,sedan,190,3.0,Petrol,yes,9.388486557359657
Mercedes-Benz,sedan,125,2.2,Diesel,yes,10.030120203469494
BMW,sedan,165,2.2,Gas,yes,9.472704636443673
Audi,other,60,2.0,Petrol,yes,10.126631103850338
Toyota,crossover,119,4.0,Gas,yes,10.19988156558993
Mercedes-Benz,van,0,2.2,Diesel,yes,11.382554786308235
Volkswagen,van,200,2.0,Diesel,yes,8.699514748210191
Audi,vagon,257,2.5,Diesel,yes,9.190137664658664
Audi,other,197,2.0,Diesel,yes,9.539644119118783
Renault,van,164,2.5,Diesel,yes,9.409191230721348
Mercedes-Benz,crossover,205,2.7,Diesel,yes,9.51044496442652
BMW,crossover,200,4.8,Petrol,yes,9.803667217253917
BMW,crossover,200,3.0,Diesel,yes,10.404262840448617
Volkswagen,crossover,145,1.4,Petrol,yes,9.735068900911164
Mercedes-Benz,sedan,110,1.8,Petrol,yes,9.998797732340453
Volkswagen,sedan,195,3.2,Petrol,yes,9.277999020449997
Mercedes-Benz,sedan,226,2.2,Diesel,yes,8.961879012677683
Mercedes-Benz,sedan,184,1.8,Gas,yes,9.75846178048587
BMW,sedan,16,3.0,Diesel,yes,11.156250521031495
Volkswagen,hatch,118,1.4,Petrol,no,7.696212639346407
BMW,sedan,256,2.2,Petrol,yes,9.093806555720231
Mercedes-Benz,sedan,33,1.6,Petrol,yes,10.360912399575003
Volkswagen,other,168,1.9,Diesel,yes,8.974618038455112
Toyota,crossover,97,3.5,Petrol,yes,10.257659366256743
Renault,van,140,1.5,Diesel,yes,8.83927669058535
BMW,vagon,280,2.5,Diesel,yes,9.088172738001974
Renault,van,164,1.4,Petrol,yes,8.039157390473237
BMW,sedan,250,2.5,Petrol,yes,9.093806555720231
Renault,sedan,130,1.4,Petrol,yes,8.716044050161402
BMW,sedan,260,1.8,Petrol,no,7.24422751560335
Volkswagen,van,93,1.6,Diesel,yes,9.082507000466299
Renault,other,176,2.0,Diesel,yes,9.239802082125802
Renault,sedan,170,1.6,Petrol,yes,8.779557455883728
Toyota,sedan,151,1.6,Gas,yes,9.116029692504942
Volkswagen,hatch,95,1.4,Petrol,yes,9.205327830152639
Toyota,crossover,260,4.7,Gas,yes,10.106428396532818
Audi,crossover,27,3.0,Diesel,yes,10.849337086651827
Volkswagen,van,290,1.9,Diesel,yes,9.464982590349763
Mercedes-Benz,van,250,2.2,Diesel,yes,8.987196820661973
Mitsubishi,sedan,112,2.4,Petrol,yes,8.99961934066053
Renault,van,164,2.0,Diesel,yes,9.22029070282935
BMW,sedan,300,2.5,Diesel,no,7.549609165154532
Renault,van,187,2.0,Diesel,yes,9.287301413112312
Audi,sedan,234,4.2,Gas,no,8.987196820661973
Mercedes-Benz,other,120,2.6,Petrol,yes,9.635608107380527
Volkswagen,hatch,182,1.9,Diesel,no,7.762170607138205
BMW,vagon,5,0.65,Other,yes,10.568440998725292
Toyota,crossover,0,4.5,Diesel,yes,11.512915464920228
Volkswagen,sedan,110,1.8,Petrol,yes,9.778491062361443
Volkswagen,van,237,2.5,Diesel,yes,9.47262771040802
Mercedes-Benz,other,90,1.8,Petrol,yes,9.825526011066415
Volkswagen,sedan,195,2.0,Petrol,yes,9.126958763037132
Volkswagen,sedan,1,1.6,Other,yes,9.581903928408666
Volkswagen,vagon,18,1.6,Diesel,yes,9.798127036878302
Mercedes-Benz,van,250,1.7,Diesel,yes,8.824677891164198
BMW,crossover,73,2.0,Petrol,yes,9.9281801651265
BMW,other,100,5.0,Petrol,yes,10.239959789157341
Volkswagen,van,130,2.0,Diesel,yes,9.273315171137572
Volkswagen,other,30,1.4,Petrol,yes,9.918376165029878
Volkswagen,vagon,267,1.9,Diesel,no,8.006367567650246
Toyota,crossover,112,4.5,Gas,yes,10.136581434703507
Mitsubishi,hatch,245,1.3,Petrol,no,7.236339342754344
Mercedes-Benz,sedan,174,4.0,Diesel,yes,9.775654181026242
Mercedes-Benz,van,180,2.2,Diesel,yes,9.560997243589352
BMW,crossover,270,4.6,Gas,yes,9.525151111816216
Mercedes-Benz,sedan,187,5.5,Petrol,yes,10.081633737919603
Volkswagen,sedan,144,3.6,Petrol,yes,10.373491181781864
BMW,sedan,267,2.0,Gas,yes,8.433594167539924
Volkswagen,sedan,300,1.9,Diesel,no,7.762170607138205
Audi,vagon,160,2.0,Petrol,yes,9.903437551286085
BMW,sedan,78,2.0,Petrol,yes,10.271596874100524
Volkswagen,sedan,300,2.8,Gas,yes,8.242756345714477
Volkswagen,other,300,1.3,Petrol,yes,7.495541943884256
Volkswagen,sedan,201,2.0,Petrol,yes,9.179881164491475
Mitsubishi,other,1,2.5,Diesel,yes,10.140226269364646
Volkswagen,sedan,1,1.6,Diesel,yes,10.1226230824528
Renault,sedan,140,1.4,Petrol,yes,8.51699317141357
BMW,sedan,390,2.5,Petrol,yes,8.45531778769815
Mercedes-Benz,sedan,1,2.8,Petrol,yes,8.51699317141357
Mercedes-Benz,sedan,350,2.7,Diesel,yes,9.137662146478197
Mercedes-Benz,sedan,130,5.5,Petrol,yes,10.126631103850338
Mitsubishi,crossover,148,3.0,Gas,yes,9.464982590349763
Audi,vagon,189,2.5,Diesel,yes,9.179881164491475
Renault,van,64,2.0,Diesel,yes,9.22029070282935
BMW,sedan,296,3.0,Diesel,no,7.937374696163295
Mercedes-Benz,van,350,2.9,Diesel,yes,9.51044496442652
Mitsubishi,hatch,125,1.8,Petrol,yes,9.093806555720231
Mercedes-Benz,crossover,0,3.0,Diesel,yes,11.60822655382414
Mercedes-Benz,sedan,180,3.2,Gas,yes,9.350102314351341
BMW,crossover,82,3.0,Petrol,yes,10.515966830028619
Toyota,crossover,150,4.0,Gas,yes,10.410305154904579
Volkswagen,van,253,2.5,Diesel,yes,9.230142999272362
Volkswagen,sedan,0,1.6,Petrol,yes,9.74090979777877
Toyota,sedan,179,3.0,Gas,yes,9.287301413112312
Mercedes-Benz,other,99,2.99,Diesel,yes,10.477287975463508
Volkswagen,hatch,156,1.6,Petrol,yes,9.20029003612268
Renault,vagon,91,1.5,Diesel,yes,8.974618038455112
Mercedes-Benz,sedan,216,2.2,Diesel,yes,9.539644119118783
Volkswagen,sedan,102,1.8,Petrol,yes,9.903487552536127
Toyota,crossover,38,2.2,Diesel,yes,10.257659366256743
Mitsubishi,sedan,178,1.6,Petrol,yes,8.881836305004146
Mitsubishi,crossover,200,2.0,Gas,yes,9.104979856318357
Audi,crossover,115,3.0,Diesel,yes,10.505067539570582
Volkswagen,hatch,41,1.0,Petrol,yes,8.987196820661973
Audi,other,11,1.8,Petrol,yes,10.668955394675699
Toyota,sedan,48,1.4,Diesel,yes,9.525151111816216
Toyota,sedan,165,1.8,Gas,yes,8.97449144816442
Renault,van,180,2.0,Diesel,yes,9.546741177474825
Volkswagen,van,176,1.6,Diesel,yes,9.259130536145614
Volkswagen,other,160,2.0,Diesel,yes,9.94270826568941
Mercedes-Benz,crossover,176,3.2,Gas,yes,10.373491181781864
Mercedes-Benz,sedan,220,5.0,Petrol,yes,9.581903928408666
Toyota,hatch,20,1.6,Petrol,yes,9.735068900911164
Mercedes-Benz,van,172,2.2,Diesel,yes,9.517825071724143
Audi,vagon,273,2.5,Diesel,no,7.8632667240095735
BMW,sedan,237,3.0,Diesel,yes,9.392661928770137
Volkswagen,vagon,106,1.6,Diesel,yes,9.84161214881804
Toyota,crossover,85,3.0,Diesel,yes,10.477287975463508
Mercedes-Benz,other,71,5.5,Petrol,yes,10.305613759378778
Renault,other,110,1.5,Diesel,yes,8.817297783866575
BMW,crossover,117,3.0,Petrol,yes,10.460242108190519
Volkswagen,van,177,1.9,Diesel,yes,8.948975607841776
Renault,vagon,220,1.5,Diesel,yes,9.132378830506472
Renault,hatch,84,1.5,Diesel,yes,9.035986984831405
Toyota,sedan,93,1.6,Petrol,yes,9.371608519572305
Mercedes-Benz,van,368,2.2,Diesel,yes,8.66561319653451
Toyota,crossover,180,3.0,Diesel,no,8.68270762989381
BMW,crossover,87,3.0,Diesel,yes,10.714395546283317
Volkswagen,van,170,1.6,Diesel,yes,9.259130536145614
Mercedes-Benz,sedan,190,3.0,Diesel,yes,9.792555991828847
Audi,sedan,190,3.0,Petrol,yes,9.21024036697585
Audi,sedan,190,2.5,Diesel,yes,9.21024036697585
Volkswagen,crossover,2,3.0,Diesel,yes,11.018629143155449
Toyota,crossover,130,5.7,Gas,yes,10.553205175168737
Toyota,sedan,30,1.6,Petrol,yes,9.78131991856192
Volkswagen,van,50,2.0,Diesel,yes,10.92512880001811
BMW,crossover,280,3.0,Diesel,yes,9.798127036878302
Renault,other,125,1.5,Diesel,yes,8.935903526274423
Renault,sedan,68,1.5,Diesel,yes,8.83927669058535
Renault,vagon,0,1.5,Diesel,yes,9.657273665778108
Renault,van,195,2.0,Diesel,yes,9.263881138904212
Volkswagen,van,190,1.9,Diesel,yes,9.433483923290392
Audi,sedan,157,3.0,Petrol,yes,9.472704636443673
BMW,sedan,285,4.4,Gas,yes,8.909235279192261
Renault,hatch,100,1.5,Diesel,yes,9.159047077588632
Audi,crossover,197,4.2,Petrol,yes,9.84161214881804
Toyota,sedan,176,3.0,Petrol,yes,8.987196820661973
Volkswagen,vagon,250,1.9,Diesel,yes,9.071078304642676
Mercedes-Benz,crossover,300,3.2,Petrol,yes,9.21024036697585
Volkswagen,sedan,175,2.0,Petrol,yes,9.723163998404846
Toyota,hatch,90,1.6,Petrol,yes,9.539644119118783
Volkswagen,other,145,2.0,Diesel,yes,9.836278802842678
Mitsubishi,sedan,152,1.6,Petrol,yes,8.732304571033183
Renault,van,22,1.9,Diesel,yes,8.1886891244442
Renault,vagon,98,1.4,Petrol,yes,8.922658299524402
Renault,van,200,1.9,Diesel,yes,7.7406644019172415
Volkswagen,crossover,133,2.5,Diesel,yes,9.735068900911164
Mitsubishi,crossover,116,2.4,Petrol,yes,9.510370887608827
Renault,van,180,1.5,Diesel,yes,8.648221453822641
Mitsubishi,crossover,140,3.8,Gas,yes,9.792555991828847
Volkswagen,other,170,1.9,Diesel,yes,9.539644119118783
Audi,vagon,167,2.5,Diesel,yes,8.980927207648378
BMW,sedan,250,2.0,Petrol,yes,9.179881164491475
Volkswagen,sedan,240,1.8,Petrol,yes,8.922658299524402
Audi,crossover,117,4.2,Petrol,yes,9.903437551286085
BMW,sedan,230,2.0,Gas,yes,9.116029692504942
Volkswagen,hatch,73,1.4,Petrol,yes,9.495519314209846
Volkswagen,hatch,22,1.2,Other,yes,9.95227771670556
Audi,sedan,360,1.8,Petrol,yes,8.794824928014517
Audi,vagon,226,3.0,Diesel,no,8.935903526274423
Mercedes-Benz,hatch,258,1.7,Diesel,no,8.160518247477505
Volkswagen,sedan,3,1.8,Petrol,yes,8.160518247477505
Mercedes-Benz,van,167,2.2,Diesel,yes,9.792555991828847
Renault,vagon,286,1.9,Diesel,no,7.575584651557793
Volkswagen,sedan,90,1.4,Petrol,yes,8.98594603876032
Volkswagen,sedan,320,1.9,Diesel,yes,8.779557455883728
Mitsubishi,sedan,300,2.0,Diesel,yes,8.160518247477505
Toyota,sedan,113,2.4,Gas,yes,9.55393007636626
Toyota,other,300,1.6,Petrol,yes,8.00603417874901
BMW,crossover,70,3.0,Diesel,yes,11.11095424611632
Toyota,sedan,200,3.5,Gas,yes,9.480367509189243
Volkswagen,sedan,300,1.8,Petrol,yes,8.83927669058535
Volkswagen,sedan,80,2.0,Diesel,yes,10.085767441795337
Mitsubishi,crossover,225,2.5,Petrol,yes,8.852235835227855
Toyota,sedan,198,2.4,Gas,yes,9.546741177474825
Renault,van,108,1.0,Diesel,yes,8.935903526274423
Renault,vagon,180,1.5,Diesel,yes,9.314700387300425
Mercedes-Benz,other,260,2.2,Diesel,yes,9.711115659888671
Mercedes-Benz,other,82,5.5,Petrol,yes,10.691944912900398
Audi,other,12,1.8,Petrol,yes,10.594131602877955
Mercedes-Benz,sedan,173,1.8,Gas,yes,9.9281801651265
BMW,crossover,214,4.4,Petrol,no,8.987196820661973
BMW,sedan,142,2.0,Petrol,yes,9.358760377094455
Renault,vagon,170,1.5,Diesel,yes,9.350102314351341
Volkswagen,other,103,2.0,Diesel,yes,9.525151111816216
Mercedes-Benz,van,198,3.2,Gas,yes,9.525151111816216
Renault,vagon,200,1.5,Diesel,yes,8.948975607841776
Mercedes-Benz,sedan,231,2.2,Petrol,yes,8.66561319653451
Volkswagen,sedan,95,2.0,Petrol,yes,9.159047077588632
Mercedes-Benz,sedan,140,5.5,Petrol,yes,10.1226230824528
Volkswagen,crossover,47,3.0,Diesel,yes,10.924138299734526
Volkswagen,van,186,2.8,Petrol,yes,8.779557455883728
Mercedes-Benz,sedan,175,3.2,Diesel,no,9.02401079378469
Mitsubishi,crossover,130,3.0,Gas,yes,9.392661928770137
Mercedes-Benz,crossover,185,3.7,Gas,yes,9.615805480084347
BMW,sedan,246,3.0,Diesel,yes,8.99961934066053
Renault,sedan,175,2.0,Gas,yes,8.987196820661973
Mercedes-Benz,van,285,2.3,Diesel,yes,8.612503371220562
Renault,vagon,184,1.5,Diesel,yes,9.169518377455928
BMW,sedan,180,2.0,Petrol,yes,9.287301413112312
Mercedes-Benz,van,263,2.2,Diesel,yes,9.305559638557117
BMW,crossover,80,3.0,Diesel,yes,10.691944912900398
Toyota,hatch,54,1.4,Other,yes,9.862665558015873
Mercedes-Benz,van,127,1.8,Diesel,yes,9.883284845218608
Volkswagen,sedan,135,1.6,Gas,yes,9.104979856318357
BMW,sedan,245,3.0,Diesel,yes,9.296518068217235
Volkswagen,van,180,2.0,Diesel,yes,9.464982590349763
BMW,sedan,285,2.5,Petrol,yes,8.794824928014517
Renault,sedan,0,1.5,Diesel,yes,9.669052364970721
Toyota,sedan,180,2.4,Petrol,yes,9.230142999272362
Mercedes-Benz,sedan,366,3.2,Gas,yes,8.699514748210191
Audi,sedan,1,2.0,Other,yes,8.160518247477505
Volkswagen,van,380,2.5,Diesel,yes,8.961879012677683
Toyota,crossover,84,3.0,Diesel,yes,10.48849257447637
Renault,crossover,90,1.5,Diesel,yes,9.367344120785848
Volkswagen,crossover,58,2.0,Petrol,yes,9.629050706834368
Mercedes-Benz,sedan,111,2.3,Gas,yes,7.824046010856292
Volkswagen,other,164,2.0,Diesel,yes,9.72913416539135
BMW,sedan,128,3.0,Diesel,yes,10.82970881308719
BMW,sedan,300,2.5,Petrol,no,7.718685495198466
Mercedes-Benz,sedan,270,2.7,Diesel,yes,9.137769679141348
Toyota,van,161,2.5,Diesel,yes,9.350102314351341
BMW,sedan,304,4.4,Other,yes,9.472704636443673
Mercedes-Benz,sedan,319,3.2,Gas,yes,8.922658299524402
Mercedes-Benz,other,38,2.0,Petrol,yes,9.798071479779479
Renault,vagon,162,1.5,Diesel,yes,8.895629627136483
Toyota,crossover,117,3.0,Diesel,yes,10.305613759378778
Renault,vagon,170,1.5,Diesel,yes,8.507142855562735
Audi,vagon,40,3.0,Diesel,yes,10.491274217438248
Audi,sedan,177,1.6,Petrol,no,7.438383530044307
Audi,vagon,1,2.0,Diesel,yes,9.429475901892854
Volkswagen,sedan,0,1.6,Petrol,yes,9.539194377712507
Volkswagen,crossover,60,3.0,Diesel,yes,10.705489138008156
